,id,kw,txt
23,252221,['قیمت'],سلام کلوند رو با دید میان مدت به قیمت ۳۳۲۷۹ ریال خریدم امکان داره تحلیل کنید و بفرمایید که ارزش سرمایه‌گذاری داره؟ونفت  رو هم تحلیل کنید ممنون میشم
24,252232,"['خرید', 'قیمت']","وقتی یه نفر سهام یک شرکت رو میخره میشه سهامدار شرکت 
بعبارتی مالک قسمتی از اون شرکت هست 
حالا نمیدونم چرا طرف تا یکی میگه ""پِخ"" سریع از دم کل سبدش رو با رنج منفی و 10 درصد زیر پایانی حراج میکنه . یعنی طرف سهمشو در منفی شنبه آینده داره میفروشه 😂
یعنی طوری میفروشه انگار خمپاره خورده وسط بورس🤪
اصلا انگار نه انگار که  مالک شرکت هست !!

من نمیدونم الان اگه بهش بگن قیمت ملک 5 درصد کشیده پایین  همین شخص سریع میپره سره گاو صندوق سند خونه رو برمیداره میره املاکی و 10 درصد زیر قیمت حراج میکنه ؟؟؟!!!🤔

اصلا نفهمیده ماهیت بورس و معنی سرمایگذاری چی هست ، فقط دلش خوشه 2 تومنش شده 3 تومن چندرقاز گیرش اومده .

اقای زرنگ تو شنبه میای همین سهم رو توی صف خرید التماس میکنی"
25,252301,['خرید'],"سلام 
خرید برای بلند مدت پیشنهاد میدین؟؟"
26,252743,['خرید'],دهدشت ارزش خرید نداره
27,252757,['خرید'],بنظرتون باز خرید انجام بدم؟
28,252760,['حمایت'],تحلیل شکلر و چه قیمتی حمایت میشه؟
29,252992,['فروش'],سلام وقت فروش شستا کیه؟
30,253630,['هدف'],"دزهراوی
هدف لطفا"
31,253692,['خرید'],سلام نوری خرید خوبه
32,253864,"['حمایت', 'مقاومت']","با درود و احترام
ومهان  آپدیت
ممنون میشم نقطه مقاومت و نقطه حمایت را بنویسید"
33,254200,['خرید'],سلام لطفا برای خرید
34,254301,"['خرید', 'هدف', 'قیمت']",سلام # کروی لطفا قیمت خرید ۳۵۰۰ هدف کوتاه
35,254306,['خرید'],"💵 مشارکت شما در سودهای کلانی که شرکتهایی مانند آپ یا هفت هشتاد به جیب میزنند !!

✅ اقدام جالب 7030 و روش درآمدزایی جدید: 70% سود برای شما 30% برای 7030 

🔺لطفا چند ثانیه وقت بزارید و با دقت متن زیر رو بخونید؛ امکانش هست زندگیتونو زیر و رو کنه 🙏🏻

همونطور که میدونین یه شارژ 5 تومنی برای من و شما 5450 تومان هزینه داره، این 9 درصد مالیات که میشه 450 تومان واریز میشه به حساب سازمان مالیات و سود برای عاملین فروش.

🔸 برای اینکه متوجه مقدار سود بشیم نرم افزار آپ یا هفت هشتاد رو مثال میزنیم که به ازای حاشیه سودش جایزه های هفتگی یا ماهانه بزرگی میدن و در رسانه ملی با سودی که از من و شما به جیب میزنن تبلیغ جوایزشو میکنن!! خوب من و شما چطور میتونیم از خرید شارژمون به درآمد برسیم؟؟!! 

🔸 یه برنامه جدید به اسم 7030 اومده که بچه های دانشگاه صنعتی_شریف طراحی کردن و ساختنش و بعد از گرفتن کلیه مجوزها از مراجع قانونی منتشر کردن، که در کنار شارژ کردن و خرید اینترنت گوشیتون و پرداخت قبوض آب و برق و کارت به کارت و ... میتونید درآمدی برای خودتون هم داشته باشین!!

🔸 به این نحو که وقتی گوشیتونو شارژ کنید یا قبض پرداخت کنید این برنامه تا 70 درصد از سود خودشو با شما تقسیم میکنه و به خودتون بر میگردونه. آمار تراکنش شارژ روزانه 13میلیارد تومان است، در واقع سازندگان این برنامه تصمیم گرفتن بجای دادن جوایز میلیونی به 1نفر یا تبلیغ میلیاردی در رسانه ملی برای معرفی 7030، این پول رو بین تک تک کاربران برنامه 7030 تقسیم کنند که اونا براشون تبلیغ کنند و دستمزد مادام العمر دریافت کنند 👏🏻👏🏻
با هر خرید دوستانتون با توجه به سطح آنها شما درآمد کسب خواهید کرد (سطح اول افرادی هستن که شما مستقیم معرفی کردین و سطح دوم کسانی هستن که از طریق سطح اول دعوت شدن)

🔸 صحبتهایی که شد مخلص کلام اینه که شما کافیه به اطرافیانتون این برنامه و کد معرف خودتونو معرفی کنید، بعد برای مثال اگر فقط 10 نفر از اونها اینکارو انجام بدن و تا سطح 7 این اتفاق بیفته . اون موقع هست که هرکدوم یه شارژ 5 تومانی در ماه تهیه کنن شما میتونین به در آمد 13 میلیون تومنی در ماه برسین ، 13 میلیون!!

🔸 تازه جالبه بدونین این مبلغ برای شما فقط با خرید یکبار شارژ 5 تومانی بدست میاد اونم در ماه!!! و طبیعتا این خرید برای افراد متفاوته و چندین بار خرید میکنن. به اینم فکر کنید که اگر خرید اینترنت و پرداخت قبض و کارت به کارت هم باشه این 13 میلیون هم بیشتر میشه!

🔸 نصب برنامه 7030 از طریق گوگل_پلی، بازار ، سیب_اپ قابل انجامه. بعد از نصب برای ورود و ثبت نام کد معرف رو وارد کنید تا استارت یک کار خوب و با آینده رقم بخوره.

🔺دقت نمایید برای ورود و عضویت در هفتاد سی باید دعوت شده باشید!! نرم افزار در هنگام ثبت نام نیاز به شناسه معرف داره و بدون این شناسه هم امکان ثبت نام در نرم افزار وجود نداره
برای اینکه بتونید ثبت نام کنید شناسه زیر رو وارد کنید👇
m9999999m
یا در هنگام ثبت نام کد زیر رو به عنوان معرف بزنید👇

m9999999m
🔸 بعد از ثبت نام وارد بخش شناسه ها و مدعوین بشین و شناسه دلخواه خودتون رو بسازین و با استفاده از اون روی شبکه های اجتماعی و گروه هاتون تبلیغ نرم افزار رو بکنین تا دوستانتون با لینک خودتون ثبت نام انجام بدن.

⚠️ دوستان توجه کنین چون این نرم افزار اخیراً معرفی شده و هنوز عده زیادی با اون آشنایی ندارن و نصبش نکردن جای زیادی برای معرفی و رشد داره؛ پس مسلماً دوستانی که سریعتر ثبت نام کرده و اون رو به دوستان خودشون معرفی بکنن موفق‌تر خواهند بود

شناسه‌ی معرف هنگام ثبت نام:
m9999999m

در تصویر زیر شیوه نصب و عضویت در اپلیکیشن 7030 مشروح است"
36,254611,['فروش'],فروش یا اضافه کردن شستا؟
37,254626,['قیمت'],سلام تو این کشف قیمت ها مثل همین گشان سهام فروخته میشه یا فقط سفارش گرفته میشه؟ اخه اوایلش خیلی مبالغ سفارش مفته
38,254891,['حمایت'],سلام درصورت شکست حمایت تکلیف چیه؟ خوبه مجمع رفت
39,254898,['خرید'],سلام دوستان واسه فردا کسی پیشنهاد خرید داره؟
40,254927,"['حمایت', 'مقاومت']",استاد منظور از حمایت و مقاومت چیه ممنون میشم توضیح بدین
41,254932,['تارگت'],تارگت وسرمد لطفا
42,255729,['فروش'],زقيام نگهداري يا فروش ؟لطفا
43,255761,['قیمت'],سلام شستا بازم مثل امروز با قیمت بالا باز میشه؟؟؟
44,255786,"['حمایت', 'مقاومت']",فسازان لطفا روند و مقاومت و حمایت
45,256185,['خرید'],سلام خسته نباشید #آسیاو#دبالک برای ورود خرید
46,256193,['خرید'],الان شستا برای‌ خرید خوبه؟
47,256217,['خرید'],ومهان فردا منفی باشه خوبه واسه خرید
48,256222,"['حمایت', 'مقاومت']","فباهنر لطفا
شامل حمایت و مقاومت های سهم"
49,256229,['قیمت'],"دوستان یه سوال 
وقتی حجم معاملات حجم مبنا را پر نکنه قیمت فردا با همون قیمت روز قبلش باز میشه"
50,256237,['فروش'],صبا هم صف فروش
51,256242,['خرید'],"دوستان اگر به فکر سرمایتون هستید حتما قبل خرید هر سهمی p/e سهمو چک کنید
خیلی از سهما با peخیلی بالا با سفته بازی و دروغای کانالای بورسی حباب دارن"
52,256245,['خرید'],سلام غاذر برای خرید چطوره؟؟؟؟؟
53,256447,['فروش'],ثمسکن و البرز و دماوند نگهداری یا فروش
54,256498,['حمایت'],حمایت وبوعلی لطفا
55,256951,"['خرید', 'قیمت']",سلام مادیرا قیمت خرید ۴۲۸۴۰
56,257054,['خرید'],"سلام، پسهند لطفا تحلیل کنید ً 4300 خرید زدم
بعد مجمع فقط ریزش داشته"
57,257075,['کف'],سلام به همگی..چ نمادی از کف  ارزشمنده ک بخریم؟؟
58,257104,['خرید'],"سلام لطفا
نظرتون درباره خرید رانفور دراین روزها"
59,257111,"['هدف', 'قیمت']","سلام 
 نماد بکام رو در قیمت 9000خرید برای بازه سه ماهه هدف چند باشد"
60,257218,['ضرر'],با توجه به حمایتها و مقاومتها تصمیم گیری نمایید و به حد ضرر تان پایبند باشید.
61,257277,['ضرر'],به حد ضرر خودتان پایبند باشید.
62,257552,['هدف'],خگستر هدف کوتاه مدت
63,257566,['قیمت'],سلام. حکشتی برای میان مدت قیمت 2900 هریدم
64,257567,"['خرید', 'قیمت']",سلام لطفا کرازی با قیمت خرید ۲۰۴۳۴ با دید کوتاه مدت تحلیل فرمایید.
65,257582,"['خرید', 'سقف', 'فروش', 'قیمت']","⭕️ روش خرید عرضه سهام دولتی در بورس
🖌شرکت های قابل عرضه :بانک‌های ملی، سپه، مسکن، کشاورزی، رفاه،.........
🖌سقف خرید دومیلیون
🖌کف خرید ده هزار تومان
قیمت هر واحد ده هزار تومان
🖌ویژه هر ایرانی بدون محدودیت سنی
⭕️نماد بورسی آن 👌دارا یکم
سقف 200سهم
اگر کد بورسی ندارید با سامانه بام یا اینترنت بانک یا همراه بانک ویا با مراجعه به شعب بانک ها
🖌نحوه فروش بعد از دو ماه که در پرتفو باشه و طریق کدبورسی
🖌بخریم، بله جذابیت لازم را دارد."
66,257597,['قیمت'],شستا قیمت خرید1666تومن
67,257599,['سقف'],غگل بلند مدت تا سقف قبلی خودش میره
68,257639,['خرید'],شاوان برای میان مدت و خرید بالا
69,257822,"['حمایت', 'مقاومت']","در پاسخهایی که  توسط بنده ارایه  شده 
خط چین قرمز مقاومت
خط چین سبز حمایت
و خطوط زرد خط روند میباشد"
70,258139,['خرید'],سلام تاصیکو میان مدت خرید ۱۰۰۰ تومان
71,258149,['ضرر'],"سلام
شپاکسا   ۱۶درصد ضرر"
72,258213,['خرید'],مگه منفی خورده ، امروز که دیگه جم شد با پایانی مثبت ۲.۳۰ ،،، دلیل اینکه یهو از صف خرید اومد به منفی افشای اطلاعات بود که ایشالا از شنبه پرقدرت میره واسه صعود
73,258224,['خرید'],شیران فرصت مناسب برای خرید
74,258225,['فروش'],شستا فروش یا نگهداری؟
75,258926,"['حمایت', 'مقاومت']","با درود و احترام 
حریل آپدیت
لطفا نقاط مقاومت و حمایت را بنویسید
سپاس🙏🙏"
76,258967,['خرید'],"ثشرق
خرید در ۱۰۰۰ تومان
بلند مدت"
77,259389,['فروش'],"سلام
صبا ، وبملت رو نگهداری یا فروش"
78,259834,['حمایت'],"با درود و احترام
دزهراوی آپدیت
لطفا نقطه مقاوت و حمایت را بنویسید
سپاسگزارم"
79,259840,"['حمایت', 'مقاومت']",سلام مقاومت و حمایت وسرمد
80,260218,['قیمت'],سلام وغدیر رو قیمت 11415خریدم به دید کوتاه مدت
81,260231,['مقاومت'],"سلام لطفا حخزز
مقاومت 
خروج"
82,260286,"['خرید', 'فروش']","دوستان عذر میخوام کارمزد خرید یک درصده یا یک و نیم
فروش چطور 🙏"
83,260289,"['خرید', 'فروش']",یک و نیم خرید و فروش
84,260808,"['مقاومت', 'فروش']",دوستان بازاري كه يا صف خريده يا صف فروش تحليل به چه كاري مياد؟؟؟ طرف سهمشو زير خط مقاومت ميفروشه تحليل به چه كاري مياد
85,260813,['خرید'],"✅دوستان کسی سرمایه بالای یه میلیارد داره بیاد پیوی برای خرید گروهی 
تا به حال ۸۳ نفر هستیم"
86,260975,"['خرید', 'قیمت']","حخزر قیمت خرید 38750 ریال 
کوتاه مدت"
87,260977,['حمایت'],شاخص هم وزن حمایت چنده
88,260978,['فروش'],تا چند بره برا فروش خوبه
89,261004,['ضرر'],"این دو هفته با سرمایه کمم هفت میل ضرر کردم چقدر صبر کنم 
همش کتک تازه واردارو میخورم"
90,261005,['ضرر'],فجر ۱۵ درصد ضرر میان مدت لطفا نظرتونو بگید
91,261019,['حمایت'],راجب اصلاح شاخص توضیح بفرمایید تا کجا حمایت داره
92,261021,['مقاومت'],مقاومت البته
93,261299,['خرید'],شستا نگهداری یا خرید
94,261846,['قیمت'],سلام کشرق  تو قیمت ۷۱۰۰خریدم دید میان مدت
95,261857,"['خرید', 'قیمت']","فاسمین
 قیمت خرید ۴۲۶۸۷ ریال
چشم انداز سه ماهه
لطفا تحلیل بفرمایید"
96,261875,['فروش'],"سلام 
تحلیل و آپدیت غمینو 
آیا افزایش سرمایه داره 
نگهداریم یا فروش تو این شرایط 
الان سر ب سرم"
97,261876,['خرید'],سلام دارویی خوبه یا موقتیه واسه خرید
98,262295,['قیمت'],شکلر تا چند میره من تو ضررم بت قیمت ۵۴۰۰ خریدم
99,262302,['فروش'],دوستان صف فروش تپکوچند بار می خوان جمع کنم
100,262307,['ضرر'],"سلام خسته نباشید آقای مدیر به نظر شما دماوند نگه دارم یا بفروشم خیلی ضرر کردم  الان یه سهم شکلر و دماوند دارم بازار را چطور پیش بینی میکنید.
باسپاس"
101,262348,['خرید'],سلام،کلر،قیمت خرید ۹۳۰۰،هدف میان مدت،نظرتون؟
102,262523,['تارگت'],تارگت غشهداب چه عددی است؟
103,262528,['خرید'],"سلام وقت بخیر
ساربیل برای خرید خوبه فردا خردی بزنم؟"
104,262531,['قیمت'],سلام ،میهن، قیمت خرید۳۲۳تومان کوتاه مدت
105,262556,"['خرید', 'ضرر']","امروز کارگزاری مفید موجودی رو منفی کرد و اجازه خرید نداد هنوزم درست نشده 
چه راهکاری دارید 
لااقل 10 درصد و با 5 درصده فردا 15 درصد ضرر زد با منفی کردن موجودی"
106,262576,['خرید'],دوستان نحوه خرید عرصه اولیه توی مفید جطوریه؟بصورت دستی
107,262588,"['سیگنال', 'خرید']",سلام من تازه شروع کردم یه سیگنال خرید سه شنبه میگید  ممنون
108,263079,"['حمایت', 'مقاومت']",توریل لطفا با حمایت و مقاومت
109,263100,['خرید'],دزهراوی با مثبت ۲۰باز شد صف خرید
110,263117,['ضرر'],از آگاس فقط نوسان میگیرن من دو هفته بود داشتم با یه در صد ضرر ردش کردم
111,263127,['خرید'],"سلام
وصنعت برای خرید مناسبه؟"
112,263136,"['خرید', 'فروش']","فروی فسپا فپنتا
لطفا تحلیل برای خرید و فروش"
113,263142,['ضرر'],خیلی ضرر کردم
114,263147,['خرید'],شپنا لطفا برای حجم خرید بالای سیصد میلیون تومن
115,263152,['فروش'],ولغدر نگهداری یا فروش
116,263397,['حمایت'],با توجه به حمایت ها و مقاومتها تصمیم گیری نمایید.
117,263406,"['حمایت', 'ضرر']",برای خودتان حد ضرر تعیین کنید و به آن پایبند باشید و اگر نتئنستید از سهم خارج شوید بر روی حمایت معتبر با میانگین کم کردن میتوانید ضرر خود را کاهش دهید.
118,264009,['قیمت'],سلام حآسا قیمت ۲۲۴۸ کوتاه مدت
119,264033,['خرید'],"سلام تحلیل  ولانا  خرید 3000
دید میان مدت 6000"
120,264038,['فروش'],سلام خگستر برای فروش
121,264053,"['حمایت', 'مقاومت']","با درود و احترام
دزهراوی آپدیت
لطفا نقطه مقاومت و حمایت را بنویسید"
122,264068,['حمایت'],سلام توریل لطفا حمایت و مقاوم
123,264871,"['حمایت', 'مقاومت']",سلام توریل لطفا ، حمایت و مقاومت
124,265069,"['حمایت', 'مقاومت']",لطفا حمایت و مقاومت شپنا
125,265096,['خرید'],نظر دوستان وتجارت خرید 60 تومن برای بلند مدت؟؟؟
126,265128,"['خرید', 'قیمت']",سلام جهرم ۲۷۸۰کگل۱۵۳۲۷وتجارت۲۱۶۸شکلر۴۷۵۲۵هرمز۱۲۰۴۳این قیمت خرید و کوتاه مدت وبلندمدت لطفا
127,265688,['خرید'],"دوستان این دارا یکم منقضی شده جریانش چیه ؟

از روز های قبل کسی نخریده دارایکم ببینیم در چه حاله ؟ چجوری براش خرید زده ؟😂😐"
128,265689,['خرید'],سلام منم خرید زده بودم دارایکم و ولی منقضی شده کی میشه خرید کرد
129,265695,['خرید'],چرا واسه من خرید نزد پیزد رو؟
130,265708,['خرید'],سلام فولاد لطفا میخوام سنگین خرید بزنم
131,265715,['خرید'],سلام ، خرید دارایکم برای من علیرغم درخواست از کارگزاری، انجام نشده، آیا راه حلی وجود داره؟
132,265716,['قیمت'],سلام. من شکلر دارم و به قیمت ۴۷۹۱۰ ریال خریدم و الان از اون روز منفی هست. نظرتان در مورد این سهم با دید میان مدت چیه؟؟
133,265718,['قیمت'],"درود بر شما... وغدیر.. قیمت ورود 1051.
میان مدت."
134,265725,['خرید'],"سلام 
دارایکم فرصت خرید هست؟"
135,265731,['خرید'],"سلام غسالم  برای خرید چطور هست؟
شکایت بر علیه غسالم واقعیته؟؟؟"
136,265732,"['حمایت', 'مقاومت']","خواهش می کنم
تمنا می کنم
 دزهراوی آپدبت
ممنون میشم نقطه حمایت و مقاومت را بنویسید"
137,265736,['خرید'],سلام من پیزد خرید زدم خرید انجام نشد پول بر نگشت
138,265868,['خرید'],"📌اطلاعیه درباره پذیره نویسی صندوق واسطه گری مالی یکم/ 

⬅️پذیره نویسی واحدهای سرمایه ‏گذاری صندوق واسطه گری مالی یکم (دارا یکم) که به منظور واگذاری سهام متعلق به دولت جمهوری اسلامی ایران در بانکهای تجارت، ملت، صادرات و بیمه البرز و بیمه اتکایی امین تاسیس شده، صرفا شامل اشخاص حقیقی ایرانی بوده و اشخاص حقوقی نمی توانند در پذیره‏ نویسی شرکت نمایند و استفاده از حساب آن‏ها برای پرداخت وجوه نیز امکان‏پذیر نیست. 

⬅️پس از پایان پذیره نویسی، به هر شخص حقیقی ایرانی حداکثر 200 واحد تعلق خواهد گرفت. 

⬅️در صورت فزونی تقاضا بر عرضه، از روش تسهیم به نسبت برای تخصیص واحدهای صندوق استفاده خواهد شد. 

⬅️ساعت ورود سفارشات در سامانه معاملات از ساعت 14:00 لغایت 16:00 هر روز تعیین شده است. 

⬅️در انتهای هر روز سفارشات خرید وارد شده جمع آوری شده و تمامی سفارشات باز از سامانه معاملاتی حذف خواهد شد.

⬅️ لذا متقاضیان در هر روز پس از پایان زمان سفارش گیری نمی توانند درخواست خرید خود را ویرایش یا حذف نمایند. نبر تا تاریخ پایان پذیره‌نویسی صندوق خواهد بود. 

⬅️شرکت‌های کارگزاری و شرکت‌های ارائه دهنده خدمات برخط موظف هستند نسبت به نگهداری وجوه مورد نیاز جهت انجام پذیره‌نویسی تا مشخص شدن سهمیه تعداد واحد برای هر فرد و تخصیص آن اطمینان حاصل نمایند. 

⬅️معاملات ثانویه واحدهای سرمایه گذاری صندوق سرمایه‌گذاری قابل‌معامله، حداقل 2 ماه پس از اتمام پذیره‌نویسی و ثبت صندوق، در بازار بورس اوراق بهادار تهران آغاز می گردد.(این زمان بعدا به یک ماه کاهش یافت)

⬅️ تمامی اشخاص دارنده واحد صندوق، برای انجام معاملات ثانویه باید دارای کد بورسی باشند."
139,265873,['خرید'],شایان ذکر است تاریخ خرید از طریق سامانه های انلاین بورسی شما عزیزان از ساعت 18 دیروز به بعد ممکن نیست و زمان خرید از این طریق تمام شده است.
140,266953,"['ضرر', 'هدف']",دانا، پاکشو. حد ضرر و هدف
141,267333,['خرید'],سلام لطفا وثوق رو تحلیل بفرماید خرید ۱۹۲۰ کوتاه مدت
142,267335,['فروش'],اخابر ورود۸۵۰ فروش یا نگهدارب
143,267773,['خرید'],"سلام
وسدید ۳۲۸۰تومن خرید شده
دید کوتاه مدت نهایتا ۲ماهه"
144,267775,['قیمت'],"سلام خسته نباشید 
من سهم سید کو را امروز در قیمت ۸۷۸۰خریداری کردم درسود بود وبعد منفی ۵ درصد شد 
تحلشلشو میخواستم برای میان مدت یا بلند مدت"
145,267811,"['خرید', 'ضرر']","سلام به همه دوستان من تازه وارد بورس شدم اصلا تجربه ندارم 
لطفا اگه امکان داره یه کم اطلاعات در اختیارم بزارید.
مثلا-برای خرید باید چی چیزهایی را مد نظر داشته باشم تا ضرر نکنم؟
با تشکر🌷🌷"
146,267822,['خرید'],دوستان ۴ شنبه درخواست خرید دارایکن دادم بعد از سفارشام حذف شد تا امروزم پولم بلوکست الان چکار کنم
147,267837,['خرید'],سلام نظرتون درمورد خرید حآسا
148,268637,"['حمایت', 'مقاومت']","با درود و احترام
لطفا آپدیت 
حریل 
وپارس
ممنون میشم نقطه مقاومت و حمایت را بنویسید"
149,268690,['قیمت'],"شگویا از دقتی عرصه شده نفروختم
دیدم هم کوتاه مدت اگه به قیمت ۱۵۰۰یا۱۴۰۰ برسه میخوام بفروشم
جا داره بره بالا؟؟؟"
150,268691,['خرید'],سلام کسی میدونه سرمایه لازم برای خرید دو ارز اولیه  جدید چقدره؟
151,269205,"['خرید', 'قیمت']","سلام
لیست سبد بنده و قیمت خرید آنها... با دیدگاه کوتاه، میان و بلند مدت
ذوب آهن ۵۸۳۰
شستا ۱۴۷۷۱
شستا ۱۵۱۱۸
شستا ۱۵۰۰۱
فارس ۱۶۲۹۰
کچاد ۱۶۵۲۱
هرمز ۱۰۶۷۰
ونیرو ۶۱۳۵
فملی ۱۵۰۲۹
شپنا ۱۲۲۵۱"
152,269223,"['حمایت', 'خرید']",سلام سه شنبه خرید غسالم چطوره الان در حمایت هست
153,269224,['قیمت'],وسکاب  قیمت خرید۷۷۰  و میان مدت
154,269734,['فروش'],۳هفته اصلاح نیست ریزش ملت میرن تو صف فروش که برن خودرو ثبت نام کنن دولت به حقوقی ها نامه میزنه نخرید ی عده عجولم که میرن صف فروش قفل میشه معلوم نیست کی میخان بازار جمعش کنن
155,269740,"['حمایت', 'مقاومت']",دولت جوری از بورس حمایت کرد کلا تحلیل و مقاومت و حمایتو همه ی اینارو برد زیر سوال
156,269741,['سیگنال'],بقران در عجم از کسایی که سیگنال میخوان . اخه وقتی شاخص داره سقوط میکنه دنبال چی هستین . این رسما ریزشه نه اصلاح . شاخص تا 840 میاد پایین .
157,269747,['حمایت'],"👇👇👇👇
علاوه بر حمایتهای گفته شده، حمایت 1322 تومان را هم دارد."
158,269812,['ضرر'],سعی کنید روی سهامتان تمرکز کنید به جای شاخص و برای سهامتان حد ضرر تعیین کنید و در صورت امکان به آن پایبند باشید و در صورتی که نتوانستید از نماد خارج شوید با توجه به حمایتها و نقاط PRZ نسبت به کم کردن میانگین اقدام کنید. در مورد روند بازار هم می توانید گزارش های موجود در کانال را گوش دهید.
159,270302,['خرید'],سلام دوستان،با توجه به تیک اتومات عرضه اولیه تو کارگزاری مفید چرا واسه من سهام اریا خرید نشده
160,270319,['خرید'],سلام برای اینکه خرید ها رو زودتر سفارش بگذاریم که آخر صف خرید نباشیم تو کارگذاری مفید چکار باید بکنیم؟
161,271371,['خرید'],"سلام 
سدور لطفا ؟
۱۳۸۴ خرید کردم 
میان مدت"
162,271391,['فروش'],"سلام ما دیرا
ما دیرا
مادیرانگهداری یا فروش اصلابالانمیره ۲۰درصدضررم تکون نمیخوره"
163,271402,['مقاومت'],سلام مقاومت وصنا  ممنون میشم
164,271406,['هدف'],ولساپا هدف کوتااه مدتش،؟؟؟؟؟
165,271660,['ضرر'],سلام فملی را نگهدارم یا بفروشم ۸ در صد ضرر هستم
166,271711,"['خرید', 'قیمت']","فلات
قیمت خرید 18500
کوتاه مدت

ولانا
قیمت 35500
میان مدت
ممنون"
167,271868,"['خرید', 'تارگت', 'هدف']","جو فضای تلگرام به حدی بد شده به حدی افتضاح شده که دیگه بدتر از این قابل تصور نیست.
با نمودارهای ساختگی که هیچ گونه دلیل علمی نداره تارگت 2.5 میلیونی میدن به شاخص طی 24 روز!!!
والله که من طی بیست سال تحلیل و مطالعه چنین تحلیل هایی رو در هیچ کتاب و مقاله و هیچ نوع بازاری ندیدم.
ديگه کار از تحلیل عبور کرده تبدیل شده به غیب گویی و جادوگری. عده زیادی تازه وارد سرمایه عمر و زندگیشون رو آوردن و با این تحلیل‌های جادویی نرن ته پرتگاه خوبه.
هدف چیه نمیدونم.
هیچ گونه رحم و مروت و صداقت دیگه نمونده. 
دزد بازاری شده تاریخی. سرقت و کپی تحلیل. ایجاد کانال وی آی پی 
پیام‌های زیادی مبنی بر خرید بی مهابا چون فلان خانم گفته 24 روز شاخص میشه 2.5 و.......
من یکی دیگه بریدم واقعا.
من نه پاسبان بازارم و نه نگهبان سرمایه شما و نه دشمنی دارم با کسانی که هر گونه نظری در مورد بازار دارند ولی آزادی قلم و نظر این نیس بخدا. این تشویش اذهان و ایجاد بلبشو و بهم ریختن بازاره.
هر کسی هر قدر تازه کار باشه باید ذره ای عقل و شعور و تفکر هم داشته باشه.
من بگم سکه بخرید بعد 24 روز میشه 15 میلیون شما نباید کمی تفکر داشته باشید؟؟؟
اینهمه پیام که نظر تو چیه. نظر من لازم نیس.  مواظب این سرمایتون باشید فقط.
شورش درومد دیگه شاخص یک میلیاردی. فلان سهم 800 تومنی تارگت 130 هزار تومنی و از این دست مسخره بازی.

به نقل از آقای خالقی"
168,272010,['خرید'],سلام  خرید بزاریم  بعد از مجمع  یا  الان  خرید  کنیم
